Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,11.50V?,6.534V
Average              :,4.247V?,-144.3mV
Vertical pos         :,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.312500mV,0.312500mV
Time interval        :,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,8043.7500001,12.500000
2,8043.7500002,12.500000
3,8043.7500003,12.500000
4,7947.5000004,12.500000
5,8043.7500005,12.500000
6,8043.7500006,12.500000
7,8043.7500007,12.500000
8,8043.7500008,-83.750000
9,8043.7500009,12.500000
10,8043.75000010,-83.750000
11,8043.75000011,12.500000
12,8043.75000012,12.500000
13,8043.75000013,12.500000
14,8043.75000014,12.500000
15,7947.50000015,12.500000
16,8043.75000016,12.500000
17,8043.75000017,12.500000
18,8043.75000018,12.500000
19,8043.75000019,12.500000
20,8043.75000020,12.500000
21,8043.75000021,12.500000
22,8043.75000022,-83.750000
23,8043.75000023,12.500000
24,8043.75000024,12.500000
25,8043.75000025,12.500000
26,8043.75000026,-83.750000
27,8043.75000027,12.500000
28,8043.75000028,12.500000
29,8043.75000029,12.500000
30,8043.75000030,-83.750000
31,8043.75000031,12.500000
32,8043.75000032,12.500000
33,8043.75000033,-83.750000
34,8043.75000034,-83.750000
35,8043.75000035,12.500000
36,8043.75000036,12.500000
37,8043.75000037,12.500000
38,8043.75000038,12.500000
39,8043.75000039,12.500000
40,8043.75000040,12.500000
41,8043.75000041,-83.750000
42,8043.75000042,-83.750000
43,8043.75000043,12.500000
44,8043.75000044,12.500000
45,8043.75000045,12.500000
46,8043.75000046,-83.750000
47,8043.75000047,12.500000
48,8043.75000048,-83.750000
49,8043.75000049,12.500000
50,8043.75000050,12.500000
51,8043.75000051,12.500000
52,8043.75000052,12.500000
53,8043.75000053,12.500000
54,8043.75000054,-83.750000
55,8043.75000055,12.500000
56,8043.75000056,-83.750000
57,8043.75000057,12.500000
58,8043.75000058,12.500000
59,8043.75000059,12.500000
60,8043.75000060,-83.750000
61,8043.75000061,12.500000
62,8043.75000062,-83.750000
63,8043.75000063,12.500000
64,8043.75000064,-83.750000
65,8043.75000065,12.500000
66,8043.75000066,-83.750000
67,8043.75000067,12.500000
68,8043.75000068,12.500000
69,8043.75000069,12.500000
70,8043.75000070,-83.750000
71,8043.75000071,12.500000
72,8043.75000072,12.500000
73,8043.75000073,12.500000
74,8043.75000074,-83.750000
75,8043.75000075,12.500000
76,8043.75000076,-83.750000
77,8043.75000077,12.500000
78,8043.75000078,12.500000
79,8043.75000079,12.500000
80,8043.75000080,12.500000
81,8043.75000081,12.500000
82,8043.75000082,12.500000
83,8043.75000083,12.500000
84,8043.75000084,12.500000
85,8043.75000085,12.500000
86,8043.75000086,12.500000
87,8043.75000087,-83.750000
88,8043.75000088,12.500000
89,8043.75000089,12.500000
90,8043.75000090,-83.750000
91,8043.75000091,12.500000
92,8043.75000092,12.500000
93,7947.50000093,12.500000
94,8043.75000094,-83.750000
95,8043.75000095,12.500000
96,8043.75000096,12.500000
97,8043.75000097,12.500000
98,8043.75000098,12.500000
99,8043.75000099,12.500000
100,8043.750000100,-83.750000
101,8043.750000101,12.500000
102,8043.750000102,-83.750000
103,8043.750000103,12.500000
104,8043.750000104,-83.750000
105,8043.750000105,12.500000
106,8043.750000106,-83.750000
107,8043.750000107,12.500000
108,8043.750000108,12.500000
109,8043.750000109,-83.750000
110,8043.750000110,-83.750000
111,8043.750000111,12.500000
112,8043.750000112,12.500000
113,8043.750000113,-83.750000
114,8043.750000114,-83.750000
115,8043.750000115,12.500000
116,8043.750000116,-83.750000
117,8043.750000117,12.500000
118,8043.750000118,-83.750000
119,8043.750000119,12.500000
120,8043.750000120,-83.750000
121,8043.750000121,12.500000
122,8043.750000122,-83.750000
123,8043.750000123,12.500000
124,8043.750000124,-83.750000
125,8043.750000125,12.500000
126,8043.750000126,-83.750000
127,8043.750000127,12.500000
128,8043.750000128,12.500000
129,7947.500000129,-83.750000
130,8043.750000130,12.500000
131,8043.750000131,12.500000
132,8043.750000132,-83.750000
133,8043.750000133,12.500000
134,8043.750000134,12.500000
135,8043.750000135,12.500000
136,8043.750000136,12.500000
137,7947.500000137,-83.750000
138,8043.750000138,-83.750000
139,8043.750000139,12.500000
140,8043.750000140,12.500000
141,8043.750000141,12.500000
142,8043.750000142,12.500000
143,8043.750000143,-83.750000
144,7947.500000144,12.500000
145,8043.750000145,12.500000
146,8043.750000146,-83.750000
147,8043.750000147,12.500000
148,8043.750000148,-83.750000
149,8043.750000149,12.500000
150,8043.750000150,12.500000
151,8043.750000151,-83.750000
152,8043.750000152,12.500000
153,8043.750000153,12.500000
154,8043.750000154,12.500000
155,8043.750000155,12.500000
156,8043.750000156,12.500000
157,8043.750000157,12.500000
158,8043.750000158,12.500000
159,8043.750000159,-83.750000
160,8043.750000160,12.500000
161,8043.750000161,12.500000
162,8043.750000162,-83.750000
163,8043.750000163,12.500000
164,8043.750000164,12.500000
165,8043.750000165,12.500000
166,8043.750000166,-83.750000
167,8043.750000167,12.500000
168,8043.750000168,12.500000
169,8043.750000169,12.500000
170,8043.750000170,-83.750000
171,8043.750000171,12.500000
172,8043.750000172,12.500000
173,8043.750000173,12.500000
174,8043.750000174,-83.750000
175,8043.750000175,12.500000
176,8043.750000176,12.500000
177,8043.750000177,12.500000
178,8043.750000178,12.500000
179,8043.750000179,12.500000
180,8043.750000180,12.500000
181,8043.750000181,-83.750000
182,8043.750000182,-83.750000
183,8043.750000183,12.500000
184,8043.750000184,12.500000
185,8043.750000185,12.500000
186,8043.750000186,-83.750000
187,8043.750000187,12.500000
188,8043.750000188,-83.750000
189,8043.750000189,12.500000
190,8043.750000190,-83.750000
191,8043.750000191,12.500000
192,8043.750000192,-83.750000
193,8043.750000193,12.500000
194,8043.750000194,12.500000
195,8043.750000195,12.500000
196,8043.750000196,12.500000
197,8043.750000197,12.500000
198,8043.750000198,12.500000
199,8043.750000199,-83.750000
200,8043.750000200,12.500000
201,8043.750000201,12.500000
202,8043.750000202,-83.750000
203,8043.750000203,12.500000
204,8043.750000204,12.500000
205,8043.750000205,-83.750000
206,8043.750000206,-83.750000
207,8043.750000207,12.500000
208,8043.750000208,-83.750000
209,8043.750000209,12.500000
210,8043.750000210,-83.750000
211,8043.750000211,12.500000
212,8043.750000212,-83.750000
213,8043.750000213,12.500000
214,8043.750000214,12.500000
215,8043.750000215,-83.750000
216,8043.750000216,12.500000
217,8043.750000217,12.500000
218,8043.750000218,12.500000
219,8043.750000219,-83.750000
220,8043.750000220,12.500000
221,8043.750000221,-83.750000
222,8043.750000222,12.500000
223,8043.750000223,12.500000
224,8043.750000224,12.500000
225,8043.750000225,12.500000
226,8043.750000226,-83.750000
227,8043.750000227,12.500000
228,8043.750000228,12.500000
229,8043.750000229,12.500000
230,8043.750000230,12.500000
231,8043.750000231,12.500000
232,8043.750000232,-83.750000
233,8043.750000233,12.500000
234,8043.750000234,12.500000
235,8043.750000235,-83.750000
236,8043.750000236,12.500000
237,8043.750000237,-83.750000
238,8043.750000238,12.500000
239,8043.750000239,12.500000
240,8043.750000240,12.500000
241,8043.750000241,12.500000
242,8043.750000242,12.500000
243,8043.750000243,12.500000
244,8043.750000244,12.500000
245,7947.500000245,12.500000
246,8043.750000246,-83.750000
247,8043.750000247,12.500000
248,8043.750000248,12.500000
249,8043.750000249,12.500000
250,8043.750000250,-83.750000
251,8043.750000251,12.500000
252,8043.750000252,12.500000
253,8043.750000253,-83.750000
254,8043.750000254,12.500000
255,8043.750000255,12.500000
256,8043.750000256,12.500000
257,8043.750000257,12.500000
258,8043.750000258,12.500000
259,8043.750000259,12.500000
260,8043.750000260,12.500000
261,8043.750000261,-83.750000
262,8043.750000262,12.500000
263,8043.750000263,12.500000
264,8043.750000264,12.500000
265,8043.750000265,12.500000
266,8043.750000266,12.500000
267,7947.500000267,12.500000
268,8043.750000268,12.500000
269,8043.750000269,12.500000
270,8043.750000270,12.500000
271,8043.750000271,-83.750000
272,8043.750000272,12.500000
273,8043.750000273,12.500000
274,8043.750000274,-83.750000
275,8043.750000275,12.500000
276,8043.750000276,12.500000
277,8043.750000277,12.500000
278,8043.750000278,-83.750000
279,8043.750000279,12.500000
280,8043.750000280,-83.750000
281,8043.750000281,12.500000
282,8043.750000282,12.500000
283,8043.750000283,12.500000
284,8043.750000284,12.500000
285,8043.750000285,12.500000
286,8043.750000286,-83.750000
287,8043.750000287,12.500000
288,8043.750000288,12.500000
289,8043.750000289,12.500000
290,8043.750000290,12.500000
291,8043.750000291,-83.750000
292,8043.750000292,12.500000
293,8043.750000293,12.500000
294,8043.750000294,12.500000
295,8043.750000295,12.500000
296,8043.750000296,12.500000
297,8043.750000297,12.500000
298,8043.750000298,12.500000
299,8043.750000299,12.500000
300,8043.750000300,12.500000
301,8043.750000301,-83.750000
302,8043.750000302,-83.750000
303,8043.750000303,12.500000
304,8043.750000304,-83.750000
305,8043.750000305,12.500000
306,8043.750000306,12.500000
307,8043.750000307,-83.750000
308,8043.750000308,-83.750000
309,8043.750000309,12.500000
310,7947.500000310,-83.750000
311,8043.750000311,12.500000
312,8043.750000312,12.500000
313,8043.750000313,12.500000
314,8043.750000314,-83.750000
