Channel              :,CH1,CH2,CH3
Frequency            :,  ?,  ?,  ?
Period               :,  ?,  ?,  ?
PK-PK                :,5.771V,265.0mV,121.0mV
Average              :,2.464V,-36.12mV,1.309V
Vertical pos         :,1.000000mV,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X,1X
Voltage per ADC value:,0.312500mV,0.156250mV,0.031250mV
Time interval        :,0.40000uS,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV),CH3_Voltage(mV)
203,4943.750000203,-38.125000203,1642.875000
204,4943.750000204,10.000000204,1633.250000
205,4943.750000205,-38.125000205,1633.250000
206,4943.750000206,-38.125000206,1642.875000
207,4943.750000207,-38.125000207,1633.250000
208,4943.750000208,-38.125000208,1633.250000
209,4943.750000209,-38.125000209,1633.250000
210,4943.750000210,-38.125000210,1633.250000
211,4943.750000211,-38.125000211,1633.250000
212,4943.750000212,-38.125000212,1633.250000
213,4943.750000213,10.000000213,1633.250000
214,4943.750000214,-38.125000214,1633.250000
215,4943.750000215,10.000000215,1633.250000
216,4943.750000216,-38.125000216,1633.250000
217,4943.750000217,-38.125000217,1633.250000
218,4943.750000218,-38.125000218,1633.250000
219,4943.750000219,-38.125000219,1633.250000
220,4943.750000220,-38.125000220,1633.250000
221,4943.750000221,-38.125000221,1633.250000
222,4943.750000222,-38.125000222,1633.250000
223,4943.750000223,10.000000223,1633.250000
224,4943.750000224,-38.125000224,1633.250000
225,4943.750000225,10.000000225,1633.250000
226,4943.750000226,10.000000226,1633.250000
227,4943.750000227,-38.125000227,1633.250000
228,4943.750000228,-38.125000228,1633.250000
229,4943.750000229,-38.125000229,1633.250000
230,4943.750000230,-38.125000230,1633.250000
231,4943.750000231,-38.125000231,1633.250000
232,4943.750000232,-38.125000232,1633.250000
233,4943.750000233,-38.125000233,1633.250000
234,4943.750000234,-38.125000234,1633.250000
235,4943.750000235,-38.125000235,1633.250000
236,4943.750000236,10.000000236,1623.625000
237,4943.750000237,-38.125000237,1633.250000
238,4943.750000238,-38.125000238,1623.625000
239,4943.750000239,-38.125000239,1633.250000
240,4943.750000240,-38.125000240,1623.625000
241,4943.750000241,-38.125000241,1633.250000
242,4943.750000242,-38.125000242,1633.250000
243,4943.750000243,-38.125000243,1623.625000
244,4943.750000244,-38.125000244,1633.250000
245,4943.750000245,-38.125000245,1623.625000
246,4943.750000246,-38.125000246,1633.250000
247,4943.750000247,-38.125000247,1633.250000
248,4943.750000248,-38.125000248,1623.625000
249,4943.750000249,-38.125000249,1623.625000
250,4943.750000250,-38.125000250,1623.625000
251,4943.750000251,-38.125000251,1623.625000
252,4943.750000252,-38.125000252,1623.625000
253,4943.750000253,-38.125000253,1623.625000
254,4943.750000254,-38.125000254,1623.625000
255,4943.750000255,-38.125000255,1623.625000
256,4943.750000256,-38.125000256,1623.625000
257,4943.750000257,-38.125000257,1623.625000
258,4943.750000258,-38.125000258,1623.625000
259,4943.750000259,-38.125000259,1623.625000
260,4943.750000260,10.000000260,1623.625000
261,4943.750000261,-38.125000261,1623.625000
262,4943.750000262,-38.125000262,1623.625000
263,4943.750000263,10.000000263,1623.625000
264,4943.750000264,10.000000264,1623.625000
265,4943.750000265,-38.125000265,1623.625000
266,4943.750000266,-38.125000266,1623.625000
267,4943.750000267,-38.125000267,1623.625000
268,4943.750000268,-38.125000268,1623.625000
269,4943.750000269,-38.125000269,1623.625000
270,4943.750000270,-38.125000270,1623.625000
271,4943.750000271,-38.125000271,1623.625000
272,4943.750000272,-38.125000272,1623.625000
273,4943.750000273,-38.125000273,1623.625000
274,4943.750000274,-38.125000274,1623.625000
275,4943.750000275,-38.125000275,1623.625000
276,4943.750000276,-38.125000276,1614.000000
277,4943.750000277,-38.125000277,1623.625000
278,4943.750000278,-38.125000278,1614.000000
279,4943.750000279,-38.125000279,1623.625000
280,4943.750000280,-38.125000280,1614.000000
281,4943.750000281,-38.125000281,1623.625000
282,4943.750000282,-38.125000282,1623.625000
283,4943.750000283,10.000000283,1623.625000
284,4943.750000284,-38.125000284,1614.000000
