Channel              :,CH1,CH2,CH3
Frequency            :,  ?,  ?,  ?
Period               :,  ?,  ?,  ?
PK-PK                :,6.781V,4.016V?,695.3mV
Average              :,2.685V,-50.10mV?,702.7mV
Vertical pos         :,1.000000mV,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X,1X
Voltage per ADC value:,0.312500mV,0.156250mV,0.031250mV
Time interval        :,0.00200uS,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV),CH3_Voltage(mV)
213,5041.250000213,-38.125000213,293.125000
214,5041.250000214,10.000000214,293.125000
215,5041.250000215,-38.125000215,283.500000
216,5041.250000216,-38.125000216,293.125000
217,5041.250000217,-38.125000217,293.125000
218,5041.250000218,-38.125000218,293.125000
219,5041.250000219,-38.125000219,293.125000
220,5041.250000220,-38.125000220,293.125000
221,5041.250000221,-38.125000221,293.125000
222,5041.250000222,-38.125000222,293.125000
223,5041.250000223,-38.125000223,293.125000
224,5041.250000224,10.000000224,283.500000
225,5041.250000225,-38.125000225,293.125000
226,5041.250000226,-38.125000226,283.500000
227,5137.500000227,-38.125000227,293.125000
228,5041.250000228,-38.125000228,293.125000
229,5041.250000229,-38.125000229,293.125000
230,5041.250000230,-38.125000230,293.125000
231,5041.250000231,-38.125000231,283.500000
232,5137.500000232,10.000000232,283.500000
233,5041.250000233,-38.125000233,293.125000
234,5041.250000234,-38.125000234,293.125000
235,5041.250000235,-38.125000235,293.125000
236,5137.500000236,-38.125000236,293.125000
237,5041.250000237,-38.125000237,293.125000
238,5137.500000238,10.000000238,293.125000
239,5041.250000239,-38.125000239,283.500000
240,5041.250000240,10.000000240,293.125000
241,5041.250000241,-38.125000241,293.125000
242,5041.250000242,-38.125000242,293.125000
243,5041.250000243,-38.125000243,293.125000
244,5041.250000244,-38.125000244,293.125000
245,5041.250000245,-38.125000245,293.125000
246,5041.250000246,-38.125000246,293.125000
247,5041.250000247,-38.125000247,283.500000
248,5041.250000248,-38.125000248,293.125000
249,5041.250000249,10.000000249,283.500000
250,5041.250000250,-38.125000250,293.125000
251,5041.250000251,-38.125000251,293.125000
252,5041.250000252,-38.125000252,293.125000
253,5041.250000253,-38.125000253,293.125000
254,5041.250000254,-38.125000254,293.125000
255,5041.250000255,-38.125000255,283.500000
256,5041.250000256,-38.125000256,293.125000
257,5041.250000257,-38.125000257,293.125000
258,5041.250000258,-38.125000258,293.125000
259,5041.250000259,-38.125000259,293.125000
260,5041.250000260,-38.125000260,293.125000
261,5041.250000261,-38.125000261,293.125000
262,5041.250000262,10.000000262,293.125000
263,5041.250000263,-38.125000263,293.125000
264,5041.250000264,-38.125000264,283.500000
265,5041.250000265,-38.125000265,293.125000
