Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,1.550V,1.730V
Average              :,1.950V,-23.35mV
Vertical pos         :,1.000000mV,1.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.312500mV,0.312500mV
Time interval        :,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
317,1941.250000317,12.500000
318,1941.250000318,12.500000
319,1941.250000319,12.500000
320,1941.250000320,12.500000
321,1941.250000321,12.500000
322,1941.250000322,12.500000
323,1941.250000323,-83.750000
324,1941.250000324,12.500000
325,1941.250000325,-83.750000
326,1941.250000326,12.500000
327,1941.250000327,12.500000
328,1941.250000328,-83.750000
329,1941.250000329,12.500000
330,1941.250000330,12.500000
331,2037.500000331,-83.750000
332,1941.250000332,12.500000
333,1941.250000333,12.500000
334,1941.250000334,12.500000
335,1941.250000335,12.500000
336,1941.250000336,12.500000
337,1941.250000337,12.500000
338,1941.250000338,-83.750000
339,1941.250000339,12.500000
340,1941.250000340,12.500000
341,1941.250000341,12.500000
342,1941.250000342,12.500000
343,1941.250000343,12.500000
344,1941.250000344,-83.750000
345,1941.250000345,12.500000
346,1941.250000346,12.500000
347,1941.250000347,-83.750000
348,1941.250000348,12.500000
349,1941.250000349,12.500000
350,1941.250000350,12.500000
351,1941.250000351,-83.750000
352,1941.250000352,12.500000
353,1941.250000353,12.500000
354,1941.250000354,12.500000
355,1941.250000355,12.500000
356,1941.250000356,-83.750000
357,1941.250000357,12.500000
358,1941.250000358,12.500000
359,1941.250000359,-83.750000
360,1941.250000360,12.500000
361,1941.250000361,12.500000
362,1941.250000362,12.500000
363,1941.250000363,-83.750000
364,1941.250000364,12.500000
365,1941.250000365,12.500000
366,1941.250000366,-83.750000
367,1941.250000367,12.500000
368,1941.250000368,12.500000
369,1941.250000369,12.500000
370,1941.250000370,12.500000
371,1941.250000371,12.500000
372,1941.250000372,12.500000
373,1941.250000373,12.500000
374,1941.250000374,12.500000
375,1941.250000375,-83.750000
376,1941.250000376,12.500000
377,1941.250000377,12.500000
378,1941.250000378,12.500000
379,1941.250000379,12.500000
380,1941.250000380,12.500000
381,1941.250000381,-83.750000
382,1941.250000382,12.500000
383,1941.250000383,-83.750000
384,1941.250000384,-83.750000
385,1941.250000385,12.500000
386,1941.250000386,12.500000
387,1941.250000387,12.500000
388,1941.250000388,12.500000
389,1941.250000389,12.500000
390,1941.250000390,12.500000
391,2037.500000391,12.500000
392,1941.250000392,12.500000
393,1941.250000393,12.500000
394,1941.250000394,12.500000
395,1941.250000395,-83.750000
396,1941.250000396,12.500000
397,2037.500000397,12.500000
398,1941.250000398,12.500000
399,1941.250000399,12.500000
400,1941.250000400,12.500000
401,1941.250000401,12.500000
402,1941.250000402,12.500000
403,1941.250000403,-83.750000
404,1941.250000404,12.500000
405,1941.250000405,12.500000
406,1941.250000406,12.500000
407,1941.250000407,12.500000
408,1941.250000408,12.500000
409,1941.250000409,12.500000
410,1941.250000410,-83.750000
411,1941.250000411,-83.750000
412,1941.250000412,12.500000
413,1941.250000413,12.500000
414,1941.250000414,12.500000
415,1941.250000415,12.500000
416,1941.250000416,12.500000
417,1941.250000417,-83.750000
